Board ID,Board name,Board maker,Chip ID,U-Boot defconfig,Build tuple,Device tree
bananapro,Banana Pro,LeMaker,allwinner-a20,Bananapro_defconfig,arm-linux-gnueabihf,sun7i-a20-bananapro
cubieboard_2,Cubieboad 2,Cubieboard,allwinner-a20,Cubieboard2_defconfig,arm-linux-gnueabihf,sun7i-a20-cubieboard2
cubietruck,Cubietruck,Cubieboard,allwinner-a20,Cubietruck_defconfig,arm-linux-gnueabihf,sun7i-a20-cubietruck
i12_tvbox,I12,Semitime,allwinner-a20,i12-tvbox_defconfig,arm-linux-gnueabihf,sun7i-a20-i12-tvbox
icnova_a20,ICnova A20,In-Circuit,allwinner-a20,icnova-a20-swac_defconfig,arm-linux-gnueabihf,sun7i-a20-icnova-swac
itead_ibox,Itead IBOX,Itead,allwinner-a20,Itead_Ibox_A20_defconfig,arm-linux-gnueabihf,sun7i-a20-itead-ibox
lamobo_r1,Lamobo R1,Lamobo,allwinner-a20,Lamobo_R1_defconfig,arm-linux-gnueabihf,sun7i-a20-lamobo-r1
mele_m3,Mele M3,Mele,allwinner-a20,Mele_M3_defconfig,arm-linux-gnueabihf,sun7i-a20-m3
mele_m5,Mele M5,Mele,allwinner-a20,Mele_M5_defconfig,arm-linux-gnueabihf,sun7i-a20-m5
mk808c,MK808C,,allwinner-a20,MK808C_defconfig,arm-linux-gnueabihf,sun7i-a20-mk808c
olimex_a20_som_evb,A20-SOM-EVB,Olimex,allwinner-a20,A20-Olimex-SOM-EVB_defconfig,arm-linux-gnueabihf,sun7i-a20-olimex-som-evb
olimex_a20_som204_evb,A20-SOM204-EVB,Olimex,allwinner-a20,A20-Olimex-SOM204-EVB_defconfig,arm-linux-gnueabihf,sun7i-a20-olimex-som204-evb
olimex_a20_som204_evb_emmc,A20-SOM204-EVB w/ eMMC,Olimex,allwinner-a20,A20-Olimex-SOM204-EVB-eMMC_defconfig,arm-linux-gnueabihf,sun7i-a20-olimex-som204-evb-emmc
